Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
01.02.2021;33.559,00;33.141,00;34.460,10;32.595,00;5,30K;1,26%
01.02.2022;38.733,00;38.495,00;39.350,00;38.039,00;4,29K;0,54%
01.03.2021;49.572,00;45.300,00;49.572,00;45.300,00;9,42K;9,43%
01.03.2022;44.442,00;43.202,00;44.939,00;42.878,00;6,34K;2,87%
01.04.2021;58.727,40;58.796,00;59.172,90;58.498,00;4,35K;-0,12%
01.06.2021;36.672,60;37.305,00;37.624,80;35.928,00;5,29K;-1,70%
01.07.2021;33.554,40;35.043,50;35.043,50;32.821,00;5,82K;-4,25%
01.09.2021;48.844,00;47.157,00;49.102,00;46.600,00;5,71K;3,58%
01.10.2021;48.157,00;43.830,00;48.454,00;43.311,00;8,32K;9,87%
01.11.2021;60.927,00;61.330,00;62.485,00;59.595,60;4,81K;-0,66%
01.12.2021;57.250,00;56.938,00;59.055,00;56.505,00;5,18K;0,55%
02.02.2021;35.563,00;33.559,00;35.960,00;33.559,00;7,01K;5,97%
02.02.2022;36.925,00;38.733,00;38.877,00;36.660,00;4,19K;-4,67%
02.03.2021;48.526,00;49.572,00;49.572,00;47.453,60;8,37K;-2,11%
02.03.2022;43.952,00;44.442,00;45.326,00;43.386,00;5,57K;-1,10%
02.06.2021;37.590,00;36.672,60;38.053,00;36.192,30;3,97K;2,50%
02.07.2021;33.816,00;33.554,40;33.924,00;32.727,00;5,15K;0,78%
02.08.2021;39.156,00;39.922,00;40.441,00;38.716,00;4,62K;-1,92%
02.09.2021;49.291,00;48.844,00;50.365,00;48.633,00;4,95K;0,92%
02.11.2021;63.249,00;60.927,00;64.263,40;60.661,00;5,20K;3,81%
02.12.2021;56.517,00;57.250,00;57.389,00;55.842,00;4,41K;-1,28%
03.01.2022;46.445,00;47.314,00;47.578,00;45.701,00;2,58K;-1,84%
03.02.2021;37.677,00;35.563,00;37.677,00;35.563,00;8,80K;5,94%
03.02.2022;37.331,00;36.925,00;37.395,00;36.282,00;5,03K;1,10%
03.03.2021;50.425,00;48.526,00;52.018,00;48.526,00;8,60K;3,91%
03.03.2022;42.490,00;43.952,00;44.103,00;41.862,00;3,89K;-3,33%
03.05.2021;57.147,00;56.605,00;58.686,00;56.605,00;7,63K;0,96%
03.06.2021;39.209,00;37.590,00;39.209,00;37.371,00;5,75K;4,31%
03.08.2021;38.207,00;39.156,00;39.774,00;37.700,00;5,08K;-2,42%
03.09.2021;50.000,00;49.291,00;51.032,00;48.362,00;7,33K;1,44%
03.11.2021;62.904,00;63.249,00;63.556,00;60.624,00;4,76K;-0,55%
03.12.2021;53.709,00;56.517,00;57.599,00;52.062,00;10,73K;-4,97%
04.01.2021;32.020,00;32.971,00;33.403,00;29.178,00;24,68K;-2,88%
04.01.2022;45.830,00;46.445,00;47.546,00;45.583,00;3,79K;-1,32%
04.02.2021;36.975,00;37.677,00;37.998,00;36.521,00;6,42K;-1,86%
04.02.2022;41.562,70;37.331,00;41.734,00;37.070,00;8,27K;11,34%
04.03.2021;48.368,00;50.425,00;51.556,00;48.059,00;9,56K;-4,08%
04.03.2022;39.171,00;42.489,00;42.559,00;38.621,00;6,38K;-7,81%
04.05.2021;53.264,00;57.147,00;57.147,00;53.264,00;10,03K;-6,79%
04.06.2021;36.854,00;39.209,00;39.209,00;36.532,00;5,93K;-6,01%
04.08.2021;39.754,00;38.219,00;39.965,00;37.564,00;3,67K;4,05%
04.10.2021;49.252,00;48.243,00;49.503,00;46.951,00;6,19K;2,09%
04.11.2021;61.422,80;62.904,00;63.060,20;60.733,00;2,93K;-2,35%
05.01.2021;33.996,00;32.020,00;33.996,00;30.979,10;14,48K;6,17%
05.01.2022;43.418,00;45.830,00;47.056,70;42.519,00;6,93K;-5,26%
05.02.2021;38.260,00;36.975,00;38.260,00;36.759,00;4,48K;3,48%
05.03.2021;48.811,00;48.368,00;49.277,00;46.662,00;9,42K;0,92%
05.04.2021;59.145,00;58.240,00;59.145,00;57.034,00;5,59K;1,55%
05.05.2021;57.477,00;52.960,00;57.477,00;52.960,00;7,66K;7,91%
05.07.2021;33.668,00;35.289,00;35.289,00;33.479,20;7,72K;-4,59%
05.08.2021;40.887,00;39.741,00;41.352,00;37.361,00;6,43K;2,85%
05.09.2021;51.762,00;49.899,00;51.900,00;49.500,00;5,54K;3,73%
05.10.2021;51.508,00;49.232,00;51.891,10;49.065,00;6,68K;4,58%
05.11.2021;61.016,40;61.422,80;62.598,00;60.746,30;2,26K;-0,66%
06.01.2021;36.755,00;33.986,00;36.755,00;33.901,00;18,62K;8,12%
06.01.2022;43.111,00;43.418,00;43.777,00;42.487,00;3,41K;-0,71%
06.04.2021;57.991,00;59.145,00;59.200,00;57.603,00;5,62K;-1,95%
06.05.2021;56.451,00;57.487,00;57.843,00;55.897,00;10,44K;-1,79%
06.07.2021;34.140,00;33.668,00;34.858,80;33.668,00;8,81K;1,40%
06.08.2021;42.830,00;40.887,00;43.294,00;39.933,00;6,46K;4,75%
