Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
01.02.2021;1.874,10;1.864,00;1.874,20;1.864,00;0,05K;0,64%
01.02.2022;1.801,50;1.798,90;1.809,70;1.796,20;128,88K;0,28%
01.03.2021;1.736,20;1.736,50;1.736,60;1.736,50;0,00K;-0,36%
01.03.2022;1.943,80;1.908,40;1.952,60;1.903,00;224,00K;2,27%
01.04.2021;1.736,80;1.732,00;1.739,90;1.732,00;0,00K;0,75%
01.06.2021;1.912,50;1.919,30;1.919,30;1.909,40;0,21K;0,07%
01.07.2021;1.784,30;1.785,20;1.785,20;1.782,60;0,51K;0,28%
01.09.2021;1.819,90;1.820,80;1.826,00;1.816,00;1,09K;-0,12%
01.10.2021;1.761,50;1.758,60;1.766,00;1.753,30;1,17K;0,10%
01.11.2021;1.799,50;1.784,40;1.801,00;1.784,30;3,43K;0,67%
01.12.2021;1.786,30;1.778,40;1.796,20;1.775,70;4,08K;0,45%
02.02.2021;1.845,70;1.871,00;1.871,00;1.854,20;0,01K;-1,52%
02.02.2022;1.810,30;1.800,80;1.812,00;1.794,60;123,02K;0,49%
02.03.2021;1.746,90;1.737,20;1.737,20;1.727,90;0,00K;0,62%
02.03.2022;1.922,30;1.945,30;1.951,40;1.916,00;227,98K;-1,11%
02.06.2021;1.917,20;1.904,30;1.916,10;1.903,80;0,28K;0,25%
02.07.2021;1.791,00;1.790,30;1.800,00;1.789,60;0,68K;0,38%
02.08.2021;1.825,90;1.816,20;1.826,80;1.813,30;0,57K;0,28%
02.09.2021;1.815,20;1.817,90;1.822,60;1.811,10;1,88K;-0,26%
02.11.2021;1.793,00;1.796,40;1.801,10;1.791,50;1,08K;-0,36%
02.12.2021;1.764,70;1.786,10;1.786,90;1.764,20;5,57K;-1,21%
03.01.2022;1.802,40;1.832,90;1.835,40;1.800,50;9,97K;-1,56%
03.02.2021;1.847,70;1.845,50;1.847,30;1.845,50;0,15K;0,11%
03.02.2022;1.804,10;1.807,40;1.809,50;1.788,50;173,72K;-0,34%
03.03.2021;1.729,20;1.728,80;1.728,80;1.728,80;0,00K;-1,01%
03.03.2022;1.935,90;1.931,70;1.944,60;1.923,10;180,21K;0,71%
03.05.2021;1.801,20;1.783,00;1.783,00;1.783,00;0,07K;1,36%
03.06.2021;1.880,50;1.913,50;1.913,70;1.875,80;0,33K;-1,91%
03.08.2021;1.817,90;1.817,60;1.819,40;1.814,90;0,40K;-0,44%
03.09.2021;1.837,40;1.819,00;1.840,40;1.818,70;1,56K;1,22%
03.11.2021;1.767,50;1.787,00;1.789,20;1.762,80;2,37K;-1,42%
03.12.2021;1.785,80;1.772,50;1.789,60;1.768,50;6,77K;1,20%
