Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
01.02.2021;29,364;28,55;29,93;28,405;2,17K;1,89%
01.02.2022;22,635;22,515;23,09;22,45;-;0,90%
01.03.2021;26,728;26,855;27,1;26,595;0,94K;-0,39%
01.03.2022;25,541;24,455;25,65;24,345;68,56K;4,82%
01.04.2021;25,02;24,415;25,06;24,415;63,17K;1,67%
01.06.2021;28,134;28,08;28,735;27,965;4,75K;-0,21%
01.07.2021;26,1;26,25;26,525;26,045;54,77K;-0,36%
01.09.2021;24,221;23,935;24,325;23,775;48,67K;0,90%
01.10.2021;22,536;22,185;22,6;21,99;43,51K;2,22%
01.11.2021;24,073;23,985;24,175;23,81;37,06K;0,98%
01.12.2021;22,299;22,77;22,995;22,155;0,49K;-2,05%
02.02.2021;26,469;28,425;28,425;26,44;1,05K;-9,86%
02.02.2022;22,748;22,675;22,91;22,52;-;0,50%
02.03.2021;26,933;26,5;27,025;25,875;0,70K;0,77%
02.03.2022;25,19;25,505;25,545;24,96;69,47K;-1,37%
02.06.2021;28,235;28,03;28,35;27,815;4,05K;0,36%
02.07.2021;26,501;26,145;26,7;26,1;57,34K;1,54%
02.08.2021;25,575;25,625;25,675;25,345;52,01K;0,05%
02.09.2021;23,918;24,2;24,275;23,815;36,86K;-1,25%
02.11.2021;23,507;24,13;24,14;23,43;63,00K;-2,35%
02.12.2021;22,28;22,295;22,4;22,24;0,13K;-0,09%
03.01.2022;22,84;23,395;23,46;22,74;-;-2,09%
03.02.2021;26,982;27,04;27,135;26,915;0,88K;1,94%
03.02.2022;22,417;22,695;22,695;22,05;-;-1,46%
03.03.2021;26,451;26,835;26,835;25,94;0,60K;-1,79%
03.03.2022;25,212;25,45;25,665;25,075;57,47K;0,09%
03.05.2021;26,988;26,005;27,13;25,93;3,65K;4,13%
03.06.2021;27,506;28,33;28,395;27,125;5,01K;-2,58%
03.08.2021;25,582;25,47;25,665;25,27;45,85K;0,03%
03.09.2021;24,802;23,95;24,945;23,91;67,19K;3,70%
03.11.2021;23,231;23,57;23,665;23,045;67,16K;-1,17%
03.12.2021;22,445;22,41;22,47;22,04;0,20K;0,74%
04.01.2021;27,584;27;27,83;27;0,92K;2,13%
04.01.2022;23,086;22,96;23,15;22,7;-;1,08%
04.02.2021;26,327;26,54;26,78;26,145;0,71K;-2,43%
04.02.2022;22,517;22,46;22,725;22,14;-;0,45%
04.03.2021;25,527;26,255;26,395;25,235;0,92K;-3,49%
04.03.2022;25,789;25,285;25,92;25,155;70,86K;2,29%
04.05.2021;26,583;27,04;27,265;26,205;3,59K;-1,50%
04.06.2021;27,926;27,585;28,01;27,355;4,68K;1,53%
04.08.2021;25,461;25,59;26,09;25,375;72,93K;-0,47%
04.10.2021;22,644;22,6;22,805;22,29;35,18K;-0,17%
04.11.2021;23,911;23,53;24,115;23,485;68,46K;2,93%
05.01.2021;27,867;27,645;27,95;27,645;0,75K;1,03%
05.01.2022;23,202;23,095;23,32;22,8;-;0,50%
05.02.2021;27,062;26,725;27,155;26,575;1,66K;2,79%
05.03.2021;25,355;25,33;25,53;24,975;1,07K;-0,67%
05.04.2021;24,855;25,065;25,1;24,8;0,49K;-0,77%
05.05.2021;26,548;26,565;26,72;26,2;2,55K;-0,13%
05.07.2021;26,538;26,698;26,745;26,503;-;0,14%
05.08.2021;25,292;25,425;25,565;25,115;42,43K;-0,66%
05.09.2021;24,812;24,797;24,867;24,775;-;0,04%
05.10.2021;22,608;22,725;22,73;22,38;27,04K;-0,16%
05.11.2021;24,157;23,87;24,255;23,665;73,24K;1,03%
06.01.2021;27,27;28,155;28,155;27,145;0,61K;-2,14%
06.01.2022;22,221;22,845;22,875;22,03;-;-4,23%
06.04.2021;25,302;25,1;25,4;24,99;0,49K;1,80%
06.05.2021;27,503;26,59;27,605;26,31;4,53K;3,60%
06.07.2021;26,174;26,64;26,91;26,1;80,50K;-1,37%
06.08.2021;24,326;25,195;25,23;24,205;113,95K;-3,82%
06.09.2021;24,742;24,808;24,887;24,707;-;-0,28%
06.10.2021;22,532;22,635;22,7;22,185;38,89K;-0,34%
06.12.2021;22,228;22,49;22,49;22,1;0,09K;-1,65%
07.01.2021;27,473;27,5;27,58;27,3;0,46K;0,74%
07.01.2022;22,443;22,225;22,485;21,985;-;1,00%
07.02.2022;23,119;22,58;23,14;22,58;-;2,33%
07.03.2022;25,72;26,025;26,37;25,465;81,50K;-1,96%
07.04.2021;25,312;25,27;25,335;25,01;0,54K;0,04%
07.05.2021;27,502;27,415;27,795;27,27;2,44K;0,00%
07.06.2021;28,05;27,945;28,115;27,635;16,96K;0,62%
07.07.2021;26,129;26,265;26,545;26,06;50,06K;-0,17%
07.09.2021;24,373;24,865;24,895;24,21;69,93K;-1,49%
07.10.2021;22,658;22,64;22,84;22,385;41,56K;0,56%
07.12.2021;22,487;22,385;22,56;22,375;0,05K;1,17%
08.01.2021;24,845;26,865;27;24,8;0,89K;-9,57%
08.02.2021;27,602;27,325;27,7;27;0,91K;0,95%
08.02.2022;23,243;23,07;23,31;22,82;15,28K;0,54%
08.03.2021;25,324;25,7;25,96;25,055;0,90K;-0,65%
08.03.2022;26,895;25,805;27,495;25,55;127,21K;4,57%
08.04.2021;25,653;25,1;25,725;25,1;2,51K;1,35%
08.06.2021;27,762;28,06;28,145;27,645;16,40K;-1,03%
08.07.2021;25,987;26,265;26,31;25,875;59,52K;-0,54%
08.09.2021;24,056;24,39;24,48;23,94;45,43K;-1,30%
08.10.2021;22,705;22,61;23,22;22,435;69,58K;0,21%
08.11.2021;24,542;24,285;24,59;24,13;67,62K;1,35%
08.12.2021;22,39;22,43;22,445;22,31;0,27K;-0,43%
09.02.2021;27,448;27,515;27,735;27,265;0,98K;-0,56%
09.02.2022;23,386;23,23;23,405;23,15;-;0,62%
09.03.2021;26,241;25,555;26,255;25,48;0,69K;3,62%
09.03.2022;25,816;26,925;27,39;25,73;87,11K;-4,01%
09.04.2021;25,389;25,575;25,575;25,1;1,24K;-1,03%
09.06.2021;28,032;27,75;28,165;27,66;14,58K;0,97%
09.07.2021;26,234;26,005;26,3;25,82;45,50K;0,95%
09.08.2021;23,269;24,34;24,38;22,295;118,53K;-1,35%
09.09.2021;24,177;23,995;24,355;23,865;43,41K;0,50%
09.11.2021;24,318;24,55;24,565;24,09;65,11K;-0,91%
09.12.2021;21,974;22,28;22,285;21,89;0,03K;-1,86%
10.01.2022;22,497;22,38;22,57;22,275;-;0,51%
10.02.2021;27,134;27,53;27,55;27,025;0,93K;-1,14%
10.02.2022;23,569;23,325;23,78;23,195;-;0,78%
10.03.2021;26,186;26,095;26,215;25,725;0,45K;-0,21%
10.03.2022;26,256;26,06;26,425;25,6;55,85K;1,70%
10.05.2021;27,517;27,69;28,01;27,375;2,94K;-0,90%
10.06.2021;28,062;27,91;28,21;27,515;20,04K;0,11%
10.08.2021;23,392;23,45;23,675;23,22;62,93K;0,53%
10.09.2021;23,9;24,1;24,345;23,76;39,09K;-1,15%
10.11.2021;24,772;24,375;25,22;24,04;131,56K;1,87%
10.12.2021;22,16;21,885;22,165;21,8;0,02K;0,85%
11.01.2021;25,478;25,625;25,625;24,575;0,96K;1,37%
11.01.2022;22,848;22,525;22,89;22,525;-;1,56%
11.02.2021;27,118;26,925;27,4;26,925;1,00K;-0,06%
11.02.2022;23,42;23,245;23,755;22,91;-;-0,63%
11.03.2021;26,246;26,255;26,41;26,09;0,90K;0,23%
11.03.2022;26,16;26,255;26,35;25,695;51,55K;-0,37%
11.05.2021;27,69;27,4;27,795;27,215;3,04K;0,63%
11.06.2021;28,18;28,175;28,465;28,055;19,57K;0,42%
11.08.2021;23,488;23,325;23,565;23,19;70,05K;0,41%
11.10.2021;22,665;22,685;22,83;22,495;29,93K;0,21%
11.11.2021;25,301;24,71;25,365;24,645;82,02K;2,14%
12.01.2021;25,637;25,4;25,925;25,39;0,75K;0,62%
12.01.2022;23,243;22,85;23,285;22,735;3,75K;1,73%
12.02.2021;27,38;27,3;27,515;27,155;0,80K;0,97%
12.03.2021;25,958;25,775;26,005;25,55;0,46K;-1,10%
12.04.2021;24,931;25,21;25,335;24,8;1,18K;-1,48%
12.05.2021;27,267;27,775;27,83;27,05;3,59K;-1,53%
12.07.2021;26,239;26,185;26,375;25,93;43,37K;0,18%
12.08.2021;23,116;23,515;23,53;22,97;66,98K;-1,58%
12.10.2021;22,514;22,61;22,79;22,325;42,93K;-0,67%
12.11.2021;25,346;25,35;25,47;24,925;66,39K;0,18%
13.01.2021;25,768;25,825;25,825;25,53;0,76K;0,51%
13.01.2022;23,199;23,205;23,335;23,065;-;-0,19%
13.04.2021;25,491;24,8;25,575;24,8;1,89K;2,25%
13.05.2021;27,083;27,11;27,33;26,815;3,28K;-0,67%
13.07.2021;26,14;26,32;26,44;26,005;50,73K;-0,38%
13.08.2021;23,779;23,155;23,83;23,13;53,76K;2,87%
13.09.2021;23,796;23,79;23,89;23,36;47,76K;-0,03%
13.10.2021;23,17;22,57;23,285;22,48;71,90K;2,91%
13.12.2021;22,29;22,245;22,26;22,13;0,01K;0,25%
14.01.2021;25,997;25,325;26,145;25,325;0,80K;0,89%
14.01.2022;22,954;23,13;23,37;22,885;-;-1,06%
14.02.2021;27,51;27,395;27,615;27,395;-;0,47%
14.02.2022;23,897;23,65;24,015;23,605;-;1,04%
14.03.2022;25,298;26,28;26,29;25,16;52,36K;-2,32%
14.04.2021;25,59;25,44;25,59;25,34;1,12K;0,39%
14.05.2021;27,39;27,22;27,605;26,955;1,83K;1,13%
14.06.2021;28,074;28,105;28,185;27,605;7,69K;0,43%
14.07.2021;26,271;26,055;26,575;26,01;65,10K;0,50%
14.09.2021;23,885;23,775;23,98;23,435;42,44K;0,37%
14.10.2021;23,477;23,1;23,625;22,925;54,28K;1,32%
14.12.2021;21,887;22,25;22,25;21,66;0,00K;-1,81%
15.01.2021;25,054;25,67;25,69;24,84;0,87K;-3,63%
15.02.2021;27,672;27,503;27,802;27,468;-;0,59%
15.02.2022;23,39;23,935;24,06;23,125;-;-2,12%
15.03.2021;26,348;26,065;26,37;26,065;0,33K;1,11%
15.03.2022;25,158;25,26;25,315;24,75;47,79K;-0,55%
15.04.2021;26,026;25,715;26,12;25,455;1,08K;1,70%
15.06.2021;27,73;28,05;28,07;27,52;10,06K;-1,23%
15.07.2021;26,394;26,325;26,49;26,245;35,26K;0,47%
15.09.2021;23,801;23,865;23,94;23,67;32,69K;-0,35%
15.10.2021;23,349;23,565;23,645;23,1;52,25K;-0,55%
15.11.2021;25,105;25,425;25,465;24,97;68,48K;-1,27%
15.12.2021;21,508;21,5;21,64;21,5;0,01K;-1,73%
16.01.2022;22,968;22,942;22,988;22,935;-;0,06%
16.02.2021;27,369;27,695;28,07;27,235;0,94K;-1,09%
16.02.2022;23,654;23,45;23,71;23,34;-;1,13%
16.03.2021;26,058;26,38;26,44;25,98;0,15K;-1,10%
16.03.2022;24,71;25,115;25,25;24,55;46,30K;-1,78%
16.04.2021;26,169;25,945;26,37;25,905;0,29K;0,55%
16.06.2021;27,848;27,84;28,005;26,74;9,78K;0,43%
16.07.2021;25,795;26,43;26,55;25,64;78,28K;-2,27%
16.08.2021;23,791;23,745;23,89;23,38;42,36K;0,52%
16.09.2021;22,794;23,865;24;22,585;90,20K;-4,23%
16.11.2021;24,944;25,135;25,49;24,825;77,00K;-0,64%
16.12.2021;22,455;22,135;22,4;22,12;0,09K;4,40%
17.01.2021;24,253;24,812;24,89;24,22;-;-3,20%
17.01.2022;23,043;22,97;23,133;22,855;-;0,33%
17.02.2021;27,362;27,23;27,485;26,965;0,22K;-0,03%
17.02.2022;23,922;23,675;23,975;23,48;-;1,13%
17.03.2021;26,113;25,97;26,55;25,97;0,18K;0,21%
17.03.2022;25,616;25,24;25,75;25,165;40,14K;3,67%
17.05.2021;28,298;27,535;28,455;27,475;2,76K;2,60%
17.06.2021;25,892;27,05;27,36;25,855;26,94K;-7,02%
17.08.2021;23,659;23,84;23,955;23,565;42,59K;-0,55%
17.09.2021;22,337;22,91;23,13;22,305;66,39K;-2,00%
17.11.2021;25,167;24,86;25,285;24,85;54,35K;0,89%
17.12.2021;22,507;22,45;22,485;22,45;0,03K;0,23%
18.01.2021;25,045;24,25;25,2;24,25;-;3,27%
18.01.2022;23,528;23,035;23,71;22,87;-;2,10%
18.02.2021;27,134;27,475;27,535;27,085;0,30K;-0,83%
18.02.2022;24,038;23,9;24,165;23,745;-;0,48%
18.03.2021;26,404;26,51;26,7;25,97;0,17K;1,11%
18.03.2022;25,087;25,595;25,64;24,98;38,06K;-2,07%
18.05.2021;28,358;28,385;28,92;28,15;2,67K;0,21%
18.06.2021;26,009;25,995;26,59;25,81;17,96K;0,45%
18.08.2021;23,422;23,66;23,83;23,265;46,29K;-1,00%
18.10.2021;23,264;23,38;23,495;23,035;47,03K;-0,53%
18.11.2021;24,9;25,15;25,23;24,73;63,62K;-1,06%
19.01.2021;25,505;24,5;25,505;24,48;0,29K;1,84%
19.01.2022;24,267;23,545;24,295;23,475;-;3,14%
19.02.2021;27,321;26,25;27,7;26,25;0,57K;0,69%
19.03.2021;26,371;26,22;26,385;26,195;0,83K;-0,12%
19.04.2021;25,902;26;26,29;25,76;0,91K;-0,33%
19.05.2021;28,047;28,32;28,35;27,46;3,35K;-1,10%
19.07.2021;25,144;25,7;25,805;25,035;86,39K;-2,34%
19.08.2021;23,23;23,5;23,515;23,08;51,43K;-0,82%
19.10.2021;23,883;23,25;24,18;23,22;79,07K;2,66%
19.11.2021;24,781;24,85;25,04;24,61;67,98K;-0,48%
